student_id,register_number,student_name,email,phone,gender,department,course,year,semester,section,academic_year,previous_gpa,previous_percentage,internal_marks,assignment_score,quiz_score,midterm_score,final_exam_score,classes_held,classes_attended,attendance_percentage,study_hours_per_day,assignment_completion_rate,online_learning_hours,library_usage,participation_score,final_score,grade,pass_fail,risk_level
1,ME20250001,Daksh Bakshi,daksh.bakshi18@college.edu,+91-7440213415,Male,Mechanical Engineering,B.E. Mechanical Engineering,1,1,C,2025-2026,7.32,72.51,34.34,15.1,11.42,37.06,51.49,81,73,90.12,5.59,87.69,2.7,3,73.09,71.48,A,Pass,Low
2,EEE20240002,Laksh Konda,laksh.konda30@college.edu,+91-9170484433,Male,Electrical & Electronics Engineering,B.E. Electrical & Electronics Engineering,1,2,A,2024-2025,6.48,65.04,20.72,11.81,16.24,27.22,33.07,79,39,49.37,4.34,41.59,2.4,0,45.54,52.25,B,Pass,High
3,CSE20250003,Jasmit Dewan,jasmit.dewan1@college.edu,+91-7685731524,Female,Computer Science Engineering,B.E. Computer Science Engineering,4,7,B,2025-2026,7.84,79.01,30.36,23.27,17.02,28.51,60.35,82,68,82.93,5.92,77.88,1.85,2,68.82,75.42,A,Pass,Low
4,IT20240004,Charan Chahal,charan.chahal13@college.edu,+91-8541804686,Male,Information Technology,B.E. Information Technology,2,3,B,2024-2025,6.45,62.03,21.54,18.84,17.04,31.94,56.54,87,57,65.52,5.89,56.07,2.21,2,46.38,69.18,B+,Pass,Medium
5,IT20240005,Udyati Balay,udyati.balay49@college.edu,+91-7338444264,Female,Information Technology,B.E. Information Technology,1,2,C,2024-2025,7.92,83.94,24.04,16.59,16.68,27.66,39.84,77,52,67.53,4.6,54.47,2.32,2,32.78,59.42,B,Pass,Medium
6,ME20240006,Alexander Chander,alexander.chander30@college.edu,+91-8242911821,Male,Mechanical Engineering,B.E. Mechanical Engineering,3,5,C,2024-2025,6.61,64.56,22.7,18.69,14.9,34.95,50.13,62,44,70.97,6.38,61.21,2.35,4,61.5,67.14,B+,Pass,Low
7,CE20250007,Janani Kaul,janani.kaul47@college.edu,+91-7698594025,Female,Civil Engineering,B.E. Civil Engineering,1,2,B,2025-2026,5.83,59.49,29.66,25.0,13.98,37.71,53.09,71,53,74.65,5.71,70.28,1.17,2,68.37,75.45,A,Pass,Low
8,ME20240008,Zayyan Bala,zayyan.bala32@college.edu,+91-7701808367,Male,Mechanical Engineering,B.E. Mechanical Engineering,3,5,C,2024-2025,3.96,41.95,14.53,10.71,6.55,12.17,34.08,74,38,51.35,1.26,39.94,3.22,1,23.95,36.81,F,Fail,High
9,ME20240009,Ira Saini,ira.saini41@college.edu,+91-8722989659,Female,Mechanical Engineering,B.E. Mechanical Engineering,2,4,A,2024-2025,4.66,45.68,24.2,16.76,7.63,20.84,47.72,68,29,42.65,4.46,65.91,0.81,0,54.74,55.31,B,Pass,High
10,EEE20250010,Imaran Sen,imaran.sen83@college.edu,+91-8970753705,Male,Electrical & Electronics Engineering,B.E. Electrical & Electronics Engineering,3,5,C,2025-2026,7.31,74.01,31.3,21.03,11.44,40.23,54.68,64,55,85.94,5.61,53.76,3.05,2,52.24,75.41,A,Pass,Low
